"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"REG-010","P0","1","backend","创建注册服务模块目录结构","在 app/services/register/ 下创建 __init__.py、email_service.py、turnstile_service.py、browser_pool.py、grok_register.py、task_manager.py 六个文件的基础骨架","目录结构存在且所有模块可被正常 import；无循环依赖","AUTOSERVER","模块命名规范；遵循现有 services 目录风格","import 测试通过；无 linter 错误","已完成","已完成","已完成","已提交","","plan/2026-02-06_10-11-16-grok-register-integration.md:21-41;my-grok-register-main/g/__init__.py:1-7","picked_reason:P0基础设施,后续任务依赖;done_at:2026-02-06;evidence:import测试通过"
"REG-020","P0","1.1","backend","迁移邮箱服务 EmailService","将 my-grok-register-main/g/email_service.py 迁移到 app/services/register/email_service.py，改为从 config 读取 mail_api_key/mail_domain/mail_api_url","调用 create_email() 返回有效邮箱地址；fetch_first_email() 能获取邮件内容","AUTOSERVER","使用 httpx 替代 requests；异步化；错误处理完善","邮箱创建成功率 >90%；超时处理正确","已完成","已完成","已完成","已提交","","my-grok-register-main/g/email_service.py:1-121;app/core/config.py:104-119;app/services/register/email_service.py:1-156","picked_reason:P0核心依赖;done_at:2026-02-06;validation_limited:无mail_api_key配置;manual_test:配置register.mail_api_key后调用create_email();evidence:import测试通过+代码审查;risk:low"
"REG-030","P0","1.2","backend","迁移 Turnstile 验证服务","将 turnstile_service.py 迁移并简化，仅保留本地 Solver 调用逻辑，移除 YesCaptcha 依赖","create_task() 返回 task_id；get_response() 返回有效 token 或 None","AUTOSERVER","异步化；超时配置可调；日志记录","Solver 响应时间 <60s；失败重试机制正常","已完成","已完成","已完成","已提交","","my-grok-register-main/g/turnstile_service.py:1-106;app/services/register/turnstile_service.py:1-140","picked_reason:P0核心依赖;done_at:2026-02-06;validation_limited:无Solver服务运行;manual_test:启动Solver后调用create_task();evidence:import测试通过+代码审查;risk:low"
"REG-040","P0","1.3","backend","实现 Playwright 浏览器池管理","创建 browser_pool.py，实现基于 asyncio.Queue 的浏览器实例池，支持 FastAPI lifespan 生命周期","浏览器池初始化成功；获取/归还浏览器实例正常；关闭时所有实例被释放","AUTOSERVER","资源泄漏检查；异常恢复机制；线程数可配置","并发 10 个任务无死锁；内存无泄漏","已完成","已完成","已完成","已提交","","my-grok-register-main/api_solver.py:158-240;main.py:41-77;app/services/register/browser_pool.py:1-201","picked_reason:P0核心依赖;done_at:2026-02-06;validation_limited:无Playwright安装;manual_test:安装playwright后调用init_browser_pool();evidence:import测试通过+代码审查;risk:low"
"REG-050","P0","1.4","backend","实现核心注册逻辑 GrokRegister","创建 grok_register.py，封装完整注册流程：创建邮箱→发送验证码→获取验证码→验证→注册→获取 SSO Token","单次注册流程完整执行；成功时返回 {email, password, sso_token}；失败时返回错误原因","AUTOSERVER","进度回调接口；可取消；并发安全","注册成功率与原项目一致；异常不导致进程崩溃","已完成","已完成","已完成","已提交","","my-grok-register-main/grok.py:76-193;app/services/register/grok_register.py:1-398","picked_reason:P0核心依赖;done_at:2026-02-06;validation_limited:无外部服务配置;manual_test:配置mail/turnstile后调用register_single();evidence:import测试通过+代码审查;risk:low"
"REG-060","P0","1.5","backend","实现注册任务管理器","创建 task_manager.py，管理批量注册任务的启动/停止/进度追踪/结果存储","启动任务返回 task_id；停止任务立即生效；进度数据实时更新","AUTOSERVER","线程安全；状态持久化（可选）；内存占用可控","100 个并发任务无竞态条件","已完成","已完成","已完成","已提交","","app/api/v1/admin.py:31-78;app/services/register/task_manager.py:1-303","picked_reason:P0核心依赖,API端点前置;done_at:2026-02-06;validation_limited:无外部服务;manual_test:调用start()/stop();evidence:import测试通过+代码审查;risk:low"
"REG-070","P1","2","backend","扩展配置文件","在 config.defaults.toml 中添加 [register] 配置节，包含 enabled/mail_api_key/mail_domain/mail_api_url/turnstile_solver_threads/turnstile_headless/register_concurrent/auto_import_tokens","配置项可通过 get_config('register.xxx') 正确读取；默认值生效","AUTOSERVER","敏感字段标记；配置校验","配置热更新正常；无遗漏字段","未开始","未开始","未开始","未提交","","config.defaults.toml:1-53;plan/2026-02-06_10-11-16-grok-register-integration.md:46-57",""
"REG-080","P0","3","backend","实现注册管理 API 端点","在 admin.py 中添加 /admin/register 页面路由及 /api/v1/admin/register/* 系列 API（status/start/stop/results/export/stream/clear）","所有端点返回正确 HTTP 状态码；SSE 流正常推送；导出文件格式正确","AUTOSERVER","认证保护；参数校验；错误响应规范","API 响应时间 <500ms；并发请求无冲突","未开始","未开始","未开始","未提交","","app/api/v1/admin.py:92-113;plan/2026-02-06_10-11-16-grok-register-integration.md:67-81",""
"REG-090","P1","4","backend","集成浏览器池到 FastAPI lifespan","修改 main.py 的 lifespan 函数，在启动时初始化浏览器池（如果 register.enabled=true），关闭时释放资源","应用启动时浏览器池按配置初始化；关闭时无残留进程","AUTOSERVER","条件初始化；优雅关闭；启动失败不阻塞主应用","重启 10 次无资源泄漏","未开始","未开始","未开始","未提交","","main.py:41-77;plan/2026-02-06_10-11-16-grok-register-integration.md:87-94",""
"REG-100","P0","5","frontend","创建注册管理前端页面","在 app/static/register/ 下创建 register.html/css/js，包含统计卡片、控制区、配置区、结果表格、导出按钮","页面正常加载；样式与现有页面一致；所有交互元素可点击","AUTOFRONTEND","Tailwind CSS + Geist 字体；响应式布局；无 console 错误","Chrome/Firefox/Edge 兼容；移动端可用","未开始","未开始","未开始","未提交","","app/static/token/token.html:1-144;app/static/config/config.html:1-55;plan/2026-02-06_10-11-16-grok-register-integration.md:100-117",""
